episode,reward,throughput_Mbps,fairness
881,2.3194,0.01,0.7863
882,2.3711,0.01,0.7875
883,2.3643,0.01,0.7778
884,2.3482,0.01,0.7614
885,2.4257,0.01,0.7998
886,2.3192,0.01,0.8372
887,2.3338,0.01,0.789
888,2.3643,0.01,0.8745
889,2.4572,0.01,0.8649
890,2.4245,0.01,0.8575
891,2.3742,0.01,0.9321
892,2.4115,0.01,0.6682
893,2.3462,0.01,0.8024
894,2.4055,0.01,0.8655
895,2.3694,0.01,0.8043
896,2.4193,0.01,0.8044
897,2.3585,0.01,0.8511
898,2.391,0.01,0.7204
899,2.3261,0.01,0.7365
900,2.339,0.01,0.778
901,2.3627,0.01,0.8068
902,2.3768,0.01,0.793
903,2.5237,0.01,0.8735
904,2.3023,0.01,0.7826
905,2.4615,0.01,0.7873
906,2.4005,0.01,0.8252
907,2.4153,0.01,0.829
908,2.444,0.01,0.804
909,2.4215,0.01,0.8388
910,2.4024,0.01,0.7949
911,2.4008,0.01,0.8518
912,2.4035,0.01,0.8203
913,2.5091,0.01,0.8022
914,2.3727,0.01,0.7775
915,2.435,0.01,0.8299
916,2.3146,0.01,0.6959
917,2.349,0.01,0.8051
918,2.4116,0.01,0.8251
919,2.4144,0.01,0.8516
920,2.3387,0.01,0.8351
921,2.3198,0.01,0.8155
922,2.4274,0.01,0.7952
923,2.3743,0.01,0.8407
924,2.4525,0.01,0.7657
925,2.4198,0.01,0.8286
926,2.3875,0.01,0.8381
927,2.3084,0.01,0.681
928,2.3998,0.01,0.7894
929,2.3049,0.01,0.7779
930,2.3955,0.01,0.7761
931,2.3249,0.01,0.7802
932,2.3972,0.01,0.7485
933,2.3732,0.01,0.8274
934,2.4481,0.01,0.8957
935,2.4059,0.01,0.7832
936,2.409,0.01,0.7788
937,2.4996,0.01,0.8662
938,2.3313,0.01,0.7866
939,2.3609,0.01,0.7657
940,2.4687,0.01,0.833
941,2.4409,0.01,0.8844
942,2.3345,0.01,0.6945
943,2.3734,0.01,0.8046
944,2.3391,0.01,0.8529
945,2.3884,0.01,0.8082
946,2.373,0.01,0.8426
947,2.3128,0.01,0.7042
948,2.3057,0.01,0.8535
949,2.3062,0.01,0.7781
950,2.4155,0.01,0.8324
951,2.4332,0.01,0.8482
952,2.3493,0.01,0.7572
953,2.392,0.01,0.8243
954,2.2991,0.01,0.8078
955,2.3656,0.01,0.8053
956,2.391,0.01,0.8096
957,2.4,0.01,0.665
958,2.3127,0.01,0.7223
959,2.3623,0.01,0.8003
960,2.412,0.01,0.8794
961,2.4236,0.01,0.8069
962,2.4079,0.01,0.7945
963,2.344,0.01,0.7469
964,2.4701,0.01,0.8742
965,2.3428,0.01,0.7423
966,2.3029,0.01,0.7051
967,2.3947,0.01,0.8234
968,2.4126,0.01,0.7153
969,2.351,0.01,0.7701
970,2.4163,0.01,0.7608
971,2.3566,0.01,0.8148
972,2.3185,0.01,0.7411
973,2.358,0.01,0.7675
974,2.3177,0.01,0.8127
975,2.3402,0.01,0.8632
976,2.2395,0.01,0.6215
977,2.2641,0.01,0.7927
978,2.4335,0.01,0.7302
979,2.4549,0.01,0.7263
980,2.3627,0.01,0.7209
981,2.2579,0.01,0.7262
982,2.3842,0.01,0.8104
983,2.4481,0.01,0.7996
984,2.365,0.01,0.8117
985,2.3758,0.01,0.7985
986,2.4254,0.01,0.8337
987,2.3693,0.01,0.7966
988,2.4078,0.01,0.7305
989,2.3218,0.01,0.7501
990,2.4675,0.01,0.8281
991,2.3245,0.01,0.785
992,2.3795,0.01,0.7718
993,2.4095,0.01,0.7328
994,2.3566,0.01,0.7767
995,2.349,0.01,0.7794
996,2.3348,0.01,0.7672
997,2.3359,0.01,0.7544
998,2.3481,0.01,0.8189
999,2.3962,0.01,0.7544
1000,2.4117,0.01,0.8017
1001,2.4027,0.01,0.7734
1002,2.351,0.01,0.7981
1003,2.4067,0.01,0.7671
1004,2.3846,0.01,0.7776
1005,2.3679,0.01,0.809
1006,2.338,0.01,0.6901
1007,2.3788,0.01,0.7246
1008,2.41,0.01,0.7992
1009,2.3825,0.01,0.8553
1010,2.309,0.01,0.7894
1011,2.2971,0.01,0.7393
1012,2.3977,0.01,0.8045
1013,2.3927,0.01,0.7886
1014,2.4126,0.01,0.7627
1015,2.3322,0.01,0.7678
1016,2.4489,0.01,0.8444
1017,2.4579,0.01,0.8202
1018,2.4606,0.01,0.7833
1019,2.4594,0.01,0.8813
1020,2.4451,0.01,0.8248
1021,2.3177,0.01,0.7668
1022,2.4938,0.01,0.8321
1023,2.3884,0.01,0.8838
1024,2.3691,0.01,0.8717
