episode,reward,throughput_Mbps,fairness
202,2.3981,0.01,0.8327
203,2.3078,0.01,0.7041
204,2.4527,0.01,0.8186
205,2.4561,0.01,0.7911
206,2.4057,0.01,0.7608
207,2.4333,0.01,0.7647
208,2.3597,0.01,0.8393
209,2.3251,0.01,0.7309
210,2.4295,0.01,0.7696
211,2.2648,0.01,0.7178
212,2.3618,0.01,0.7891
213,2.3654,0.01,0.8687
214,2.41,0.01,0.7179
215,2.3978,0.01,0.7398
216,2.438,0.01,0.756
217,2.3177,0.01,0.7794
218,2.4443,0.01,0.852
219,2.3568,0.01,0.7692
220,2.2848,0.01,0.6962
221,2.3284,0.01,0.8121
222,2.4745,0.01,0.832
223,2.3981,0.01,0.8399
224,2.4199,0.01,0.7869
225,2.3606,0.01,0.8418
226,2.3995,0.01,0.7999
227,2.3996,0.01,0.8051
228,2.3998,0.01,0.7437
229,2.3889,0.01,0.84
230,2.411,0.01,0.8398
231,2.3793,0.01,0.7693
232,2.3734,0.01,0.7021
233,2.3732,0.01,0.8705
234,2.3789,0.01,0.8022
235,2.3774,0.01,0.6701
236,2.4295,0.01,0.8485
237,2.3669,0.01,0.8105
238,2.409,0.01,0.8626
239,2.4057,0.01,0.8382
240,2.3112,0.01,0.8222
241,2.3814,0.01,0.868
242,2.3668,0.01,0.7143
243,2.3615,0.01,0.8193
244,2.3107,0.01,0.7573
245,2.423,0.01,0.8177
246,2.4313,0.01,0.7917
247,2.3379,0.01,0.9083
248,2.3978,0.01,0.8065
249,2.4753,0.01,0.8837
250,2.4177,0.01,0.7629
251,2.3427,0.01,0.8093
252,2.4021,0.01,0.8386
253,2.434,0.01,0.7813
254,2.4331,0.01,0.7443
255,2.3862,0.01,0.753
256,2.4163,0.01,0.8106
257,2.3489,0.01,0.7719
258,2.4002,0.01,0.8055
259,2.392,0.01,0.7861
260,2.4605,0.01,0.805
261,2.2953,0.01,0.7455
262,2.3234,0.01,0.679
263,2.4435,0.01,0.768
264,2.3682,0.01,0.8573
265,2.3614,0.01,0.7998
266,2.3847,0.01,0.8437
267,2.3687,0.01,0.7742
268,2.4421,0.01,0.8737
269,2.2478,0.01,0.6268
270,2.3934,0.01,0.8681
271,2.4148,0.01,0.845
272,2.368,0.01,0.7767
273,2.3589,0.01,0.7443
274,2.3396,0.01,0.7634
275,2.3125,0.01,0.9111
276,2.3991,0.01,0.6907
277,2.4009,0.01,0.7412
278,2.3438,0.01,0.7903
279,2.3022,0.01,0.7995
280,2.3849,0.01,0.7991
281,2.3647,0.01,0.7239
282,2.4068,0.01,0.8402
283,2.3814,0.01,0.7195
284,2.3182,0.01,0.8017
285,2.4306,0.01,0.7635
286,2.3553,0.01,0.8046
287,2.4129,0.01,0.863
288,2.5195,0.01,0.8121
289,2.4155,0.01,0.8266
290,2.3552,0.01,0.769
291,2.3352,0.01,0.733
292,2.4485,0.01,0.8296
293,2.4317,0.01,0.8586
294,2.3997,0.01,0.8414
295,2.3553,0.01,0.7192
296,2.412,0.01,0.7626
297,2.3744,0.01,0.8242
298,2.4379,0.01,0.7999
299,2.4018,0.01,0.898
300,2.4232,0.01,0.7837
301,2.4287,0.01,0.8541
302,2.4098,0.01,0.805
303,2.313,0.01,0.7486
304,2.3465,0.01,0.7631
305,2.4242,0.01,0.7878
306,2.3652,0.01,0.7396
307,2.3996,0.01,0.8011
308,2.4463,0.01,0.837
309,2.4271,0.01,0.808
310,2.367,0.01,0.7235
311,2.4389,0.01,0.7872
312,2.4035,0.01,0.7702
313,2.4298,0.01,0.918
314,2.4286,0.01,0.8257
315,2.3657,0.01,0.834
316,2.3257,0.01,0.836
317,2.3939,0.01,0.8431
318,2.3163,0.01,0.7742
319,2.4871,0.01,0.8593
320,2.313,0.01,0.8145
321,2.4233,0.01,0.8981
322,2.4044,0.01,0.7822
323,2.4332,0.01,0.8602
324,2.3784,0.01,0.7448
325,2.4054,0.01,0.8242
326,2.3346,0.01,0.6987
327,2.2966,0.01,0.801
328,2.3155,0.01,0.8516
329,2.41,0.01,0.8392
330,2.2903,0.01,0.75
331,2.4088,0.01,0.806
332,2.4178,0.01,0.7363
333,2.445,0.01,0.8404
334,2.4648,0.01,0.7423
335,2.3698,0.01,0.8814
336,2.3785,0.01,0.8426
337,2.3827,0.01,0.7462
338,2.3714,0.01,0.8271
339,2.3733,0.01,0.8561
340,2.4319,0.01,0.8519
341,2.3715,0.01,0.7901
342,2.4147,0.01,0.6924
343,2.377,0.01,0.8041
344,2.4579,0.01,0.9397
345,2.3513,0.01,0.8255
346,2.501,0.01,0.8436
347,2.3664,0.01,0.765
348,2.3449,0.01,0.8755
349,2.4538,0.01,0.8434
350,2.4376,0.01,0.753
351,2.4381,0.01,0.8104
352,2.4383,0.01,0.9228
353,2.3551,0.01,0.7459
354,2.331,0.01,0.8824
355,2.3951,0.01,0.851
356,2.4104,0.01,0.7679
357,2.3637,0.01,0.8818
358,2.4007,0.01,0.8445
359,2.366,0.01,0.8826
360,2.39,0.01,0.8504
361,2.3586,0.01,0.7851
362,2.3262,0.01,0.7667
363,2.3944,0.01,0.7228
364,2.3537,0.01,0.7075
365,2.4611,0.01,0.9161
366,2.3994,0.01,0.7582
367,2.369,0.01,0.8592
368,2.4063,0.01,0.8717
369,2.4016,0.01,0.7787
370,2.4225,0.01,0.8338
371,2.3591,0.01,0.7456
372,2.4371,0.01,0.8798
373,2.3897,0.01,0.8102
374,2.3346,0.01,0.7881
375,2.3703,0.01,0.775
376,2.3908,0.01,0.88
377,2.3919,0.01,0.7768
378,2.4498,0.01,0.9004
379,2.3807,0.01,0.7518
380,2.4321,0.01,0.7036
381,2.4942,0.01,0.8054
382,2.3226,0.01,0.7071
383,2.3994,0.01,0.8217
384,2.4268,0.01,0.8641
385,2.3995,0.01,0.7428
386,2.4428,0.01,0.9312
387,2.3413,0.01,0.7482
388,2.3568,0.01,0.7538
389,2.3488,0.01,0.8592
390,2.33,0.01,0.8582
391,2.4322,0.01,0.8119
392,2.3859,0.01,0.7767
393,2.3884,0.01,0.8723
394,2.3763,0.01,0.854
395,2.3377,0.01,0.7496
396,2.4497,0.01,0.8879
397,2.4182,0.01,0.8566
398,2.3895,0.01,0.7407
399,2.3859,0.01,0.8111
400,2.3932,0.01,0.833
401,2.4484,0.01,0.8067
402,2.4347,0.01,0.759
403,2.4144,0.01,0.7593
404,2.3849,0.01,0.7261
405,2.3989,0.01,0.824
406,2.3187,0.01,0.7627
407,2.3576,0.01,0.7565
408,2.4488,0.01,0.7636
409,2.285,0.01,0.7905
410,2.3186,0.01,0.7635
411,2.3691,0.01,0.7699
412,2.3589,0.01,0.7275
413,2.3609,0.01,0.8571
414,2.3812,0.01,0.8939
415,2.437,0.01,0.7931
416,2.2861,0.01,0.73
417,2.4395,0.01,0.7824
418,2.4108,0.01,0.8935
419,2.3607,0.01,0.6934
420,2.361,0.01,0.7589
421,2.4027,0.01,0.8051
422,2.3467,0.01,0.8292
423,2.3639,0.01,0.7382
424,2.4103,0.01,0.8382
425,2.3782,0.01,0.7637
426,2.3821,0.01,0.838
427,2.4494,0.01,0.8239
428,2.4079,0.01,0.864
429,2.4098,0.01,0.8142
430,2.2378,0.01,0.7905
431,2.3546,0.01,0.8442
432,2.3404,0.01,0.7553
433,2.3693,0.01,0.8393
434,2.3813,0.01,0.806
435,2.475,0.01,0.8007
436,2.3538,0.01,0.7052
437,2.4587,0.01,0.8179
438,2.3792,0.01,0.8025
439,2.4029,0.01,0.7006
440,2.4847,0.01,0.8599
441,2.4146,0.01,0.887
442,2.3317,0.01,0.7695
443,2.2984,0.01,0.7963
444,2.4367,0.01,0.9125
445,2.318,0.01,0.7957
446,2.2536,0.01,0.7987
447,2.358,0.01,0.7703
448,2.3632,0.01,0.7274
449,2.4149,0.01,0.8609
450,2.4145,0.01,0.8695
451,2.4153,0.01,0.9264
452,2.3168,0.01,0.7349
453,2.3417,0.01,0.7704
454,2.4263,0.01,0.7769
455,2.3471,0.01,0.7326
456,2.3595,0.01,0.7341
457,2.4254,0.01,0.8147
458,2.4123,0.01,0.825
459,2.3918,0.01,0.8612
460,2.3348,0.01,0.813
461,2.3235,0.01,0.83
462,2.395,0.01,0.7751
463,2.4036,0.01,0.868
464,2.4308,0.01,0.8452
465,2.3391,0.01,0.7248
466,2.4118,0.01,0.7104
467,2.3623,0.01,0.7198
468,2.304,0.01,0.8383
469,2.4403,0.01,0.8765
470,2.4024,0.01,0.7896
471,2.3966,0.01,0.7736
472,2.3397,0.01,0.796
473,2.3663,0.01,0.8702
474,2.3429,0.01,0.7545
475,2.3863,0.01,0.7231
476,2.4324,0.01,0.83
477,2.4249,0.01,0.8425
478,2.3288,0.01,0.8298
479,2.4679,0.01,0.7809
480,2.367,0.01,0.7837
481,2.3753,0.01,0.7986
482,2.3903,0.01,0.8129
483,2.3954,0.01,0.7489
484,2.3694,0.01,0.7623
485,2.3941,0.01,0.8824
486,2.3624,0.01,0.8402
487,2.3849,0.01,0.7887
488,2.3281,0.01,0.8219
489,2.4141,0.01,0.778
490,2.413,0.01,0.7876
491,2.3148,0.01,0.849
492,2.3724,0.01,0.832
493,2.3328,0.0,0.703
494,2.445,0.01,0.8468
495,2.3635,0.01,0.7931
496,2.3098,0.01,0.7726
497,2.4222,0.01,0.8286
498,2.3155,0.01,0.8081
499,2.4352,0.01,0.7513
500,2.3832,0.01,0.7674
501,2.365,0.01,0.7572
502,2.3447,0.01,0.7928
503,2.3937,0.01,0.7961
504,2.3561,0.01,0.7738
505,2.3267,0.01,0.8378
506,2.4014,0.01,0.8075
507,2.4021,0.01,0.8373
508,2.4685,0.01,0.8325
509,2.3623,0.01,0.6952
510,2.3718,0.01,0.6885
511,2.4466,0.01,0.7773
512,2.408,0.01,0.7828
513,2.4428,0.01,0.8368
514,2.3905,0.01,0.8088
515,2.3339,0.01,0.6572
516,2.3058,0.01,0.8223
517,2.2902,0.01,0.7632
518,2.389,0.01,0.709
519,2.4025,0.01,0.661
520,2.4041,0.01,0.7524
521,2.3764,0.01,0.7204
522,2.442,0.01,0.8004
523,2.3456,0.01,0.6592
524,2.4153,0.01,0.9055
525,2.4028,0.01,0.7734
526,2.4097,0.01,0.8113
527,2.4147,0.01,0.814
528,2.4033,0.01,0.7911
529,2.4498,0.01,0.8289
530,2.4259,0.01,0.7978
531,2.3189,0.01,0.8275
532,2.3771,0.01,0.8414
533,2.3988,0.01,0.7559
534,2.4458,0.01,0.8415
535,2.3506,0.01,0.8552
536,2.4777,0.01,0.8713
537,2.2901,0.01,0.7613
538,2.4432,0.01,0.8599
539,2.3098,0.01,0.705
540,2.3336,0.01,0.8348
541,2.3833,0.01,0.7696
542,2.38,0.01,0.7178
543,2.4198,0.01,0.7701
544,2.4361,0.01,0.8289
545,2.3161,0.01,0.7044
546,2.4336,0.01,0.8051
547,2.4038,0.01,0.8134
548,2.4106,0.01,0.7631
549,2.3973,0.01,0.8034
550,2.323,0.01,0.7619
551,2.2925,0.01,0.7327
552,2.4022,0.01,0.7528
553,2.3757,0.01,0.7408
554,2.4127,0.01,0.8355
555,2.3669,0.01,0.7201
556,2.4839,0.01,0.8359
557,2.3911,0.01,0.7586
558,2.3795,0.01,0.7724
559,2.4238,0.01,0.7769
560,2.4199,0.01,0.7449
561,2.3567,0.01,0.874
562,2.4529,0.01,0.7845
563,2.3865,0.01,0.7241
564,2.4172,0.01,0.7489
565,2.4486,0.01,0.807
566,2.4399,0.01,0.7855
567,2.378,0.01,0.7421
568,2.3688,0.01,0.7624
569,2.3577,0.01,0.7795
570,2.4545,0.01,0.9288
571,2.3633,0.01,0.756
572,2.4232,0.01,0.7506
573,2.4887,0.01,0.8002
574,2.4108,0.01,0.7744
575,2.4415,0.01,0.776
576,2.3452,0.01,0.8306
577,2.3622,0.01,0.8119
578,2.3358,0.01,0.7737
579,2.3831,0.01,0.8155
580,2.3605,0.01,0.8508
581,2.4187,0.01,0.8444
582,2.3108,0.01,0.7442
583,2.3786,0.01,0.8147
584,2.4081,0.01,0.8011
585,2.3743,0.01,0.7603
586,2.3281,0.01,0.8324
587,2.4417,0.01,0.8239
588,2.4472,0.01,0.8565
589,2.4083,0.01,0.8865
590,2.3782,0.01,0.8416
591,2.3988,0.01,0.8196
592,2.4232,0.01,0.8129
593,2.4155,0.01,0.7961
594,2.324,0.01,0.7927
595,2.4326,0.01,0.8284
596,2.4158,0.01,0.7964
597,2.4366,0.01,0.8256
598,2.3534,0.01,0.7311
599,2.4847,0.01,0.7386
600,2.3311,0.01,0.7861
601,2.3377,0.01,0.729
602,2.3537,0.01,0.8515
603,2.4215,0.01,0.8079
604,2.4181,0.01,0.7796
605,2.2788,0.01,0.7663
606,2.3709,0.01,0.6975
607,2.4507,0.01,0.7951
608,2.4444,0.01,0.661
609,2.3772,0.01,0.7516
610,2.4321,0.01,0.7775
611,2.36,0.01,0.7805
612,2.303,0.01,0.6541
613,2.3179,0.01,0.7669
614,2.4035,0.01,0.6953
615,2.3344,0.01,0.8119
616,2.3627,0.01,0.7652
617,2.3729,0.01,0.7918
618,2.4295,0.01,0.7882
619,2.4236,0.01,0.8486
620,2.4801,0.01,0.9001
621,2.3402,0.01,0.8108
622,2.4666,0.01,0.814
623,2.4042,0.01,0.7365
624,2.3607,0.01,0.8242
625,2.3689,0.01,0.8172
626,2.406,0.01,0.8667
627,2.3614,0.01,0.8255
628,2.2804,0.01,0.6216
629,2.3828,0.01,0.8545
630,2.3947,0.01,0.7194
631,2.4132,0.01,0.752
632,2.4372,0.01,0.7937
633,2.3972,0.01,0.817
634,2.3466,0.01,0.7229
635,2.4294,0.01,0.9125
636,2.4205,0.01,0.7937
637,2.4594,0.01,0.8068
638,2.3785,0.01,0.7937
639,2.4123,0.01,0.7436
